Name	Top 5000	Top 1000	Top 500	Top 100	Top 50	Top 10	Top 5	Top 3	Top 1	
TheGraphicalHarmonicist	0.962000	0.572000	0.371000	0.131000	0.077000	0.017000	0.004000	0.002000	0.000000	
Naslemi Jones	1.000000	0.994000	0.963000	0.699000	0.526000	0.229000	0.127000	0.102000	0.038000	
scorb	1.000000	0.996000	0.963000	0.693000	0.512000	0.207000	0.124000	0.082000	0.039000	
Epsilon	1.000000	0.998000	0.965000	0.701000	0.515000	0.230000	0.141000	0.102000	0.042000	
Double ZeroB	1.000000	0.996000	0.968000	0.706000	0.539000	0.237000	0.139000	0.082000	0.033000	
BlueSquareYT	0.967000	0.560000	0.386000	0.120000	0.069000	0.011000	0.005000	0.002000	0.000000	
coolunan	1.000000	0.995000	0.960000	0.692000	0.528000	0.184000	0.103000	0.065000	0.026000	
Paintspot Infez	1.000000	0.997000	0.964000	0.686000	0.506000	0.192000	0.125000	0.089000	0.035000	
Yume Flamigiri	1.000000	0.994000	0.960000	0.681000	0.521000	0.198000	0.115000	0.071000	0.028000	
Shardren	1.000000	0.998000	0.959000	0.666000	0.519000	0.191000	0.132000	0.074000	0.040000	
4DJumpman256	1.000000	0.993000	0.956000	0.678000	0.509000	0.205000	0.116000	0.072000	0.035000	
StealthySceptile	1.000000	0.993000	0.952000	0.658000	0.489000	0.160000	0.095000	0.066000	0.018000	
Alternavation	1.000000	0.997000	0.964000	0.705000	0.537000	0.201000	0.124000	0.083000	0.031000	
Sanjay2133	1.000000	0.977000	0.901000	0.521000	0.341000	0.106000	0.061000	0.043000	0.015000	
losered	1.000000	0.970000	0.903000	0.493000	0.311000	0.093000	0.048000	0.021000	0.007000	
Hiko	1.000000	0.973000	0.878000	0.464000	0.297000	0.084000	0.040000	0.028000	0.012000	
"Kyle999"	1.000000	0.960000	0.864000	0.439000	0.278000	0.066000	0.030000	0.015000	0.003000	
Srimochi	1.000000	0.991000	0.956000	0.645000	0.460000	0.163000	0.096000	0.066000	0.027000	
<Px> Fireoiny	1.000000	0.955000	0.850000	0.405000	0.261000	0.051000	0.029000	0.017000	0.006000	
#1 sigma Rizz lord	1.000000	0.996000	0.961000	0.653000	0.457000	0.162000	0.090000	0.054000	0.025000	
italic177	1.000000	0.968000	0.855000	0.437000	0.281000	0.076000	0.030000	0.014000	0.006000	
qooyuni	1.000000	0.996000	0.964000	0.634000	0.454000	0.147000	0.079000	0.052000	0.017000	
Purplegaze	1.000000	0.997000	0.948000	0.645000	0.471000	0.168000	0.099000	0.058000	0.013000	
CleanMeanBean	1.000000	0.955000	0.817000	0.352000	0.212000	0.043000	0.017000	0.006000	0.001000	
alemtotodile	1.000000	0.995000	0.954000	0.633000	0.475000	0.167000	0.095000	0.059000	0.023000	
CringeCat	1.000000	0.952000	0.817000	0.305000	0.173000	0.028000	0.013000	0.007000	0.001000	
PoppinKenny	1.000000	0.972000	0.880000	0.446000	0.297000	0.080000	0.042000	0.027000	0.007000	
iRDM	1.000000	0.955000	0.828000	0.377000	0.212000	0.045000	0.021000	0.016000	0.006000	
HiGuysGames	1.000000	0.966000	0.870000	0.459000	0.271000	0.071000	0.038000	0.022000	0.010000	
Devils Planner	1.000000	0.959000	0.854000	0.378000	0.231000	0.050000	0.018000	0.014000	0.002000	
VanillaBeanFrappuccino	1.000000	0.976000	0.887000	0.441000	0.282000	0.073000	0.033000	0.021000	0.011000	
BuddyStory	1.000000	0.959000	0.836000	0.364000	0.212000	0.048000	0.020000	0.011000	0.003000	
Algodoo Racer	1.000000	0.956000	0.839000	0.385000	0.220000	0.039000	0.016000	0.008000	0.002000	
Charito	1.000000	0.975000	0.871000	0.401000	0.263000	0.068000	0.034000	0.018000	0.005000	
RainbowKnight	1.000000	0.953000	0.828000	0.338000	0.185000	0.030000	0.016000	0.005000	0.001000	
Mach	1.000000	0.939000	0.807000	0.285000	0.140000	0.024000	0.009000	0.005000	0.000000	
kaisle	1.000000	0.964000	0.863000	0.401000	0.250000	0.065000	0.036000	0.027000	0.007000	
Funo'	1.000000	0.952000	0.814000	0.339000	0.191000	0.039000	0.018000	0.010000	0.001000	
KrystalBirdie277	1.000000	0.947000	0.812000	0.311000	0.144000	0.029000	0.014000	0.007000	0.000000	
Onchú	1.000000	0.965000	0.868000	0.411000	0.238000	0.047000	0.029000	0.016000	0.003000	
indoorfish	1.000000	0.967000	0.882000	0.448000	0.259000	0.075000	0.045000	0.029000	0.014000	
notexi	1.000000	0.964000	0.864000	0.431000	0.272000	0.067000	0.031000	0.014000	0.004000	
puzzlypugzly	1.000000	0.914000	0.738000	0.199000	0.105000	0.020000	0.003000	0.001000	0.000000	
"Dan." (include period pls)	1.000000	0.872000	0.709000	0.270000	0.148000	0.029000	0.012000	0.006000	0.003000	
BubbleTii	1.000000	0.992000	0.945000	0.614000	0.409000	0.124000	0.076000	0.043000	0.018000	
TieTiePerson	1.000000	0.890000	0.707000	0.283000	0.155000	0.030000	0.016000	0.010000	0.003000	
